x_acc,y_acc,z_acc,label
-0.031,-0.99,0.02,steel
0.014,-0.947,0.01,steel
0.04,-1.094,-0.058,steel
-0.015,-1.092,-0.006,steel
-0.013,-0.922,0.008,steel
-0.015,-0.953,-0.066,steel
-0.01,-1.067,-0.057,steel
-0.012,-0.967,0.021,steel
0.024,-0.977,-0.002,steel
0.044,-1.116,-0.064,steel
-0.016,-1.064,0.006,steel
-0.015,-0.915,-0.007,steel
-0.006,-0.981,-0.078,steel
-0.022,-1.058,-0.041,steel
0.001,-0.958,0.026,steel
0.024,-1.0,-0.007,steel
0.032,-1.132,-0.055,steel
-0.018,-1.013,0.013,steel
-0.019,-0.907,-0.017,steel
-0.018,-0.97,-0.071,steel
-0.025,-1.067,-0.06,steel
-0.017,-0.954,0.018,steel
0.013,-0.979,0.001,steel
0.035,-1.138,-0.062,steel
-0.025,-1.035,0.013,steel
-0.021,-0.901,-0.006,steel
-0.005,-1.008,-0.088,steel
-0.027,-1.066,-0.036,steel
0.006,-0.934,0.032,steel
0.034,-1.008,-0.01,steel
0.031,-1.155,-0.055,steel
-0.01,-1.001,0.011,steel
-0.017,-0.905,-0.02,steel
0.01,-1.041,-0.094,steel
-0.031,-1.04,-0.01,steel
0.016,-0.934,0.03,steel
0.037,-1.036,-0.018,steel
0.01,-1.139,-0.03,steel
-0.02,-0.961,0.012,steel
-0.028,-0.91,-0.041,steel
-0.003,-1.05,-0.097,steel
-0.04,-1.005,0.006,steel
0.001,-0.935,0.021,steel
0.022,-1.066,-0.037,steel
0.018,-1.134,-0.011,steel
-0.019,-0.98,0.013,steel
-0.026,-0.912,-0.03,steel
0.001,-1.037,-0.1,steel
-0.031,-1.02,-0.001,steel
0.014,-0.943,0.029,steel
0.042,-1.069,-0.034,steel
0.013,-1.13,-0.032,steel
-0.007,-0.953,0.013,steel
-0.02,-0.93,-0.044,steel
0.003,-1.062,-0.097,steel
-0.027,-0.983,0.008,steel
0.019,-0.956,0.024,steel
0.041,-1.097,-0.046,steel
-0.012,-1.095,-0.005,steel
-0.015,-0.92,0.001,steel
-0.021,-0.96,-0.074,steel
-0.021,-1.065,-0.081,steel
-0.021,-0.956,0.014,steel
0.012,-0.967,0.017,steel
0.036,-1.13,-0.055,steel
-0.028,-1.05,0.012,steel
-0.017,-0.902,-0.006,steel
-0.009,-0.994,-0.094,steel
-0.008,-1.069,-0.053,steel
-0.02,-0.987,0.024,steel
0.019,-0.962,0.024,steel
0.049,-1.11,-0.052,steel
-0.01,-1.08,-0.001,steel
-0.01,-0.925,-0.008,steel
-0.014,-0.971,-0.078,steel
-0.018,-1.065,-0.059,steel
-0.006,-0.959,0.024,steel
0.025,-0.988,0.006,steel
0.037,-1.125,-0.052,steel
-0.019,-1.034,0.016,steel
-0.025,-0.91,-0.016,steel
-0.01,-1.003,-0.097,steel
-0.039,-1.036,-0.034,steel
0.0,-0.943,0.024,steel
0.023,-1.021,-0.015,steel
0.014,-1.136,-0.036,steel
-0.022,-0.977,0.011,steel
-0.029,-0.913,-0.02,steel
-0.001,-1.037,-0.104,steel
-0.028,-1.021,-0.011,steel
0.018,-0.945,0.022,steel
0.043,-1.071,-0.033,steel
0.01,-1.126,-0.022,steel
-0.015,-0.947,0.008,steel
-0.018,-0.915,-0.038,steel
0.005,-1.035,-0.106,steel
-0.03,-1.04,-0.014,steel
0.018,-0.94,0.031,steel
0.043,-1.046,-0.018,steel
0.009,-1.133,-0.021,steel
-0.017,-0.96,0.007,steel
-0.03,-0.916,-0.043,steel
-0.008,-1.046,-0.099,steel
-0.023,-1.009,-0.001,steel
-0.003,-0.964,0.045,steel
0.023,-1.028,-0.004,steel
0.015,-1.074,-0.044,steel
-0.035,-1.01,-0.02,steel
-0.031,-0.957,-0.04,steel
-0.014,-1.002,-0.055,steel
0.01,-1.017,-0.029,steel
0.006,-1.011,0.019,steel
0.032,-1.034,-0.008,steel
0.01,-1.037,-0.025,steel
-0.014,-1.013,-0.038,steel
-0.017,-0.985,-0.044,steel
-0.006,-1.014,-0.036,steel
0.004,-1.006,-0.015,steel
0.005,-1.021,0.007,steel
0.018,-1.013,-0.017,steel
0.0,-1.027,-0.026,steel
-0.003,-1.014,-0.036,steel
-0.024,-0.996,-0.032,steel
-0.014,-0.991,-0.039,steel
-0.007,-1.01,-0.031,steel
0.004,-1.014,-0.012,steel
0.004,-1.002,-0.006,steel
-0.006,-1.016,-0.011,steel
-0.004,-1.016,-0.027,steel
-0.009,-1.01,-0.027,steel
-0.008,-0.999,-0.027,steel
0.004,-1.018,-0.026,steel
0.012,-1.017,-0.026,steel
0.012,-1.016,-0.028,steel
0.022,-1.007,-0.028,steel
-0.002,-1.019,-0.02,steel
-0.019,-1.003,0.045,steel
0.012,-0.941,-0.003,steel
0.009,-1.076,0.003,steel
0.069,-1.077,0.017,steel
0.028,-1.006,0.047,steel
0.043,-1.068,-0.042,steel
-0.03,-1.074,-0.037,steel
-0.065,-0.922,-0.018,steel
-0.05,-0.868,-0.044,steel
-0.02,-0.956,-0.091,steel
0.017,-1.073,-0.057,steel
0.034,-1.039,0.029,steel
0.035,-1.025,0.008,steel
-0.007,-1.083,-0.041,steel
-0.069,-0.994,-0.02,steel
-0.063,-0.834,-0.049,steel
-0.029,-0.938,-0.083,steel
