lat,lon,year,month,day,hour,minute,second,atrack,xtrack,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
33.4,12.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.6369822801726983,0.6807930473950216,-0.4640904356179467,-0.9223456777519294,-0.35256087793817026,-0.3859881949973412,-0.18729747170043085,0.5567897494126167
33.4,20.4,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.02309792190547472,-0.561332083185023,-0.587721715579421,-0.8875598557548875,0.001881782637304319,-0.1379668975916527,0.7737642251341482,-0.5199770838523878
33.4,21.1,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.2631393949186381,-0.45157655304390004,-1.265890641697012,-0.1958612696340814,0.05807404892513879,-0.18652918568398535,0.3659179304304916,-0.45639201662526346
33.5,5.5,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.23867939210228148,-0.5269444851576961,-0.5269335868212025,-0.29022821081020644,-0.6104548067744662,-0.5768750428659637,0.8307885512080871,-0.003873332179774751
33.5,17.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.14733796167718238,1.4882432360983164,-0.13818188405619758,0.02117666882790714,0.039804845619478835,-1.4361655842542773,-0.143682487082668,0.6375127173601394
33.7,6.7,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.7798653900555882,-0.6374703438102435,0.4472253915757316,-1.384689860801091,0.06027417086908321,-1.7171156349402483,0.10828782996329803,0.7004070246607232
33.7,9.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.10805856514184708,-0.8645895270000624,-1.0563473223253073,-1.0449718616642523,-0.7927611606168419,-1.3367571993895968,-0.3648682301853202,0.08138037939731857
33.7,12.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.27949916649777995,0.0885475608261428,-0.21693936758077137,-2.039704743490791,-0.5054499548384079,-1.9746595075534226,-0.638740243519593,0.2976803323412286
33.7,13.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.4610756959317443,0.3150239568186795,0.3867167035165815,-1.4573090701350664,-0.7426396880492023,-0.41055151281093644,-0.07135719568982751,-1.0454461796122418
33.7,17.6,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.014948026262965666,0.38197152007678437,-1.0230838258428474,-1.0126766598855235,0.274198628757733,-0.6154176117497747,0.22061329022650739,1.010961204558761
